,ID,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
59,60,35,3,1,tertiary,0,1924,yes,no,cellular,20,apr,285,1,-1,0,unknown,0
60,61,21,6,3,primary,1,-426,no,no,unknown,4,jun,139,2,-1,0,unknown,0
61,62,56,5,3,tertiary,0,382,no,no,unknown,27,jun,244,2,-1,0,unknown,0
62,63,53,5,2,secondary,0,112,no,yes,cellular,11,aug,246,3,-1,0,unknown,0
63,64,50,2,2,secondary,1,-210,no,yes,cellular,21,aug,153,7,-1,0,unknown,0
64,65,24,6,1,unknown,0,76,yes,no,unknown,19,may,345,1,-1,0,unknown,0
65,66,43,6,3,primary,0,-67,yes,no,telephone,15,may,137,7,371,1,failure,0
66,67,33,2,1,secondary,0,239,yes,no,cellular,15,may,101,2,-1,0,unknown,0
67,68,26,3,2,tertiary,0,278,yes,yes,cellular,7,jul,1467,1,-1,0,unknown,0
68,69,33,6,1,primary,0,777,no,no,cellular,7,jul,263,1,-1,0,unknown,0
69,70,55,5,2,tertiary,0,1633,no,no,telephone,2,jun,128,1,-1,0,unknown,0
70,71,29,9,3,secondary,0,85,yes,no,cellular,14,jul,76,2,-1,0,unknown,0
71,72,30,5,3,tertiary,0,451,no,no,cellular,5,may,173,1,274,3,failure,0
72,73,50,5,3,tertiary,0,938,no,no,cellular,6,aug,148,2,98,1,success,0
73,74,31,5,3,tertiary,0,3739,no,no,cellular,11,aug,117,3,-1,0,unknown,0
74,75,37,12,3,secondary,0,0,no,no,cellular,29,jul,153,4,-1,0,unknown,0
75,76,42,3,3,secondary,0,419,no,no,cellular,6,feb,198,2,-1,0,unknown,0
76,77,40,10,3,secondary,0,311,yes,no,cellular,6,may,205,1,351,2,failure,0
77,78,42,2,3,secondary,0,737,yes,no,unknown,14,may,762,2,-1,0,unknown,0
78,79,32,6,1,primary,0,180,yes,no,cellular,13,may,804,1,-1,0,unknown,0
79,80,43,2,2,secondary,0,313,yes,no,cellular,8,may,155,2,-1,0,unknown,0
80,81,49,6,3,primary,0,4455,yes,no,cellular,20,nov,140,1,-1,0,unknown,0
81,82,47,6,3,primary,0,2466,yes,no,unknown,13,may,142,2,-1,0,unknown,0
82,83,36,5,3,tertiary,0,-825,no,no,unknown,27,may,95,1,-1,0,unknown,0
83,84,38,5,2,tertiary,0,-199,yes,no,cellular,18,may,15,3,-1,0,unknown,0
84,85,25,3,1,secondary,0,0,yes,no,cellular,23,jul,487,5,-1,0,unknown,0
85,86,53,1,3,secondary,1,-233,yes,no,cellular,11,may,133,3,-1,0,unknown,0
86,87,44,5,1,secondary,0,-228,yes,yes,cellular,13,may,38,1,362,2,failure,0
87,88,31,6,3,primary,0,54,yes,no,cellular,18,may,239,6,-1,0,unknown,0
88,89,37,12,3,secondary,0,1283,yes,no,unknown,20,may,209,1,-1,0,unknown,0
89,90,36,12,1,tertiary,0,635,no,no,cellular,13,feb,56,1,-1,0,unknown,0
90,91,41,2,2,secondary,0,787,yes,no,cellular,8,may,297,2,-1,0,unknown,0
91,92,54,7,2,tertiary,0,2272,yes,no,telephone,19,nov,88,1,189,1,failure,0
92,93,40,12,1,secondary,0,576,yes,yes,cellular,20,apr,114,3,-1,0,unknown,0
93,94,36,12,3,secondary,0,0,yes,yes,cellular,11,may,94,1,-1,0,unknown,0
94,95,45,2,3,secondary,0,-158,yes,no,telephone,29,jul,340,1,-1,0,unknown,0
95,96,31,2,3,secondary,0,2050,yes,no,cellular,18,nov,271,5,-1,0,unknown,0
96,97,42,10,3,tertiary,0,5,yes,no,unknown,13,may,853,1,-1,0,unknown,0
97,98,51,6,3,primary,0,5206,yes,no,cellular,20,nov,168,3,-1,0,unknown,0
98,99,39,3,3,secondary,0,616,no,no,telephone,8,dec,170,1,-1,0,unknown,0
99,100,52,4,3,secondary,0,411,yes,no,cellular,3,feb,180,3,200,10,other,0
100,101,32,3,3,secondary,0,367,yes,no,cellular,11,may,214,2,276,3,failure,0
101,102,32,2,3,secondary,0,182,no,no,cellular,5,feb,277,1,169,2,failure,0
102,103,34,6,3,tertiary,0,748,yes,yes,cellular,6,may,161,1,-1,0,unknown,0
103,104,31,6,3,secondary,0,625,yes,no,cellular,14,may,137,3,-1,0,unknown,0
104,105,43,5,3,primary,0,73,no,no,cellular,2,feb,182,2,-1,0,unknown,0
105,106,33,6,3,secondary,0,0,yes,no,cellular,17,nov,809,3,181,1,other,0
106,107,26,6,3,primary,0,755,yes,no,unknown,28,may,61,1,-1,0,unknown,0
107,108,46,6,3,secondary,0,7,no,no,unknown,17,jun,110,2,-1,0,unknown,0
108,109,43,6,3,secondary,0,-63,yes,no,unknown,12,may,160,4,-1,0,unknown,0
109,110,35,1,3,secondary,0,533,yes,no,unknown,6,may,802,1,-1,0,unknown,0
110,111,31,2,1,secondary,0,166,yes,no,cellular,11,may,227,1,-1,0,unknown,0
111,112,58,4,2,secondary,0,63,no,no,cellular,18,nov,509,1,-1,0,unknown,0
112,113,53,5,2,tertiary,0,243,yes,no,cellular,7,jul,66,2,-1,0,unknown,0
113,114,31,12,1,tertiary,0,2004,no,no,cellular,19,nov,117,1,-1,0,unknown,0
114,115,74,4,3,tertiary,0,4912,no,no,telephone,21,oct,129,3,-1,0,unknown,0
115,116,29,6,1,secondary,0,234,yes,no,cellular,8,may,139,1,345,1,other,0
116,117,34,6,1,primary,0,2146,yes,no,unknown,13,may,138,1,-1,0,unknown,0
117,118,38,6,1,secondary,0,1911,yes,no,cellular,31,jul,74,4,-1,0,unknown,0
118,119,60,4,3,tertiary,0,614,no,no,cellular,29,aug,50,3,-1,0,unknown,0
119,120,52,8,3,secondary,0,0,no,no,cellular,7,aug,82,2,-1,0,unknown,0
120,121,29,3,1,unknown,0,1729,yes,no,cellular,6,apr,479,1,-1,0,unknown,0
121,122,39,6,3,primary,0,-432,yes,no,unknown,8,may,159,3,-1,0,unknown,0
122,123,41,2,2,primary,0,308,no,no,cellular,31,jul,73,1,-1,0,unknown,0
123,124,60,2,3,secondary,0,1446,no,no,cellular,21,aug,283,6,-1,0,unknown,0
124,125,60,6,3,tertiary,0,759,no,no,cellular,8,aug,255,2,-1,0,unknown,0
125,126,31,3,1,tertiary,0,244,no,no,cellular,25,aug,170,4,-1,0,unknown,0
126,127,38,2,3,secondary,0,133,yes,no,unknown,27,may,267,1,-1,0,unknown,0
127,128,30,6,3,secondary,0,1196,no,no,unknown,27,may,147,1,-1,0,unknown,0
128,129,40,12,1,secondary,0,1670,yes,no,unknown,18,jun,161,2,-1,0,unknown,0
129,130,57,4,1,primary,0,604,no,no,cellular,19,nov,187,1,-1,0,unknown,0
130,131,54,4,2,tertiary,0,185,yes,no,telephone,13,may,413,6,-1,0,unknown,0
131,132,45,6,1,tertiary,0,-243,no,yes,cellular,8,jul,171,2,-1,0,unknown,0
132,133,41,3,3,tertiary,0,-210,yes,yes,unknown,23,may,210,1,-1,0,unknown,0
133,134,36,2,3,secondary,0,211,yes,no,unknown,9,may,93,2,-1,0,unknown,0
134,135,48,2,3,secondary,0,74,no,no,cellular,2,feb,201,1,-1,0,unknown,0
135,136,24,3,1,tertiary,0,10,yes,no,cellular,18,may,78,2,367,2,other,0
136,137,51,3,3,secondary,0,563,yes,no,cellular,17,jul,117,3,-1,0,unknown,0
137,138,35,5,1,unknown,0,2361,no,no,cellular,9,jul,90,10,-1,0,unknown,0
138,139,43,12,3,secondary,0,0,no,no,unknown,20,jun,804,12,-1,0,unknown,0
139,140,52,10,3,secondary,0,213,yes,no,cellular,14,may,164,2,-1,0,unknown,0
140,141,46,7,3,unknown,0,300,yes,no,unknown,16,may,323,3,-1,0,unknown,0
141,142,35,2,1,secondary,0,544,yes,no,cellular,7,may,91,1,345,2,failure,0
142,143,24,2,1,secondary,0,281,yes,no,cellular,8,may,211,2,337,3,other,0
143,144,59,4,3,unknown,0,201,no,no,cellular,31,jul,69,7,-1,0,unknown,0
144,145,57,8,3,unknown,0,618,yes,no,unknown,8,may,10,7,-1,0,unknown,0
145,146,26,6,1,secondary,0,2353,no,no,cellular,3,feb,498,2,-1,0,unknown,0
146,147,31,3,1,secondary,0,691,yes,no,cellular,8,may,198,1,-1,0,unknown,0
147,148,53,5,3,tertiary,0,-1112,yes,no,cellular,13,may,53,3,308,1,failure,0
148,149,39,6,1,secondary,0,1170,no,no,unknown,6,jun,383,1,-1,0,unknown,0
149,150,52,5,3,secondary,0,0,no,no,cellular,30,jul,249,3,-1,0,unknown,0
150,151,40,3,3,secondary,0,17,no,no,telephone,17,nov,192,1,-1,0,unknown,0
151,152,37,3,3,secondary,0,1120,yes,no,unknown,30,may,103,5,-1,0,unknown,0
152,153,52,2,2,primary,0,111,yes,no,unknown,12,may,179,2,-1,0,unknown,0
153,154,39,6,3,secondary,0,3045,no,no,cellular,4,feb,260,2,-1,0,unknown,0
154,155,35,10,1,tertiary,0,538,yes,yes,unknown,8,may,21,9,-1,0,unknown,0
155,156,40,12,1,secondary,0,664,no,no,cellular,19,nov,188,2,121,2,success,0
156,157,35,12,3,secondary,0,-257,no,no,cellular,28,jan,117,3,-1,0,unknown,0
157,158,31,6,3,primary,0,-199,yes,yes,telephone,12,may,149,5,299,10,failure,0
158,159,31,12,3,secondary,0,-241,yes,no,cellular,22,jul,1287,5,-1,0,unknown,0
159,160,34,5,1,tertiary,0,-64,yes,yes,cellular,28,aug,693,7,-1,0,unknown,0
160,161,57,3,3,secondary,0,3240,yes,no,unknown,14,may,129,2,-1,0,unknown,0
161,162,30,6,1,secondary,0,16,yes,no,unknown,19,may,127,5,-1,0,unknown,0
162,163,31,6,1,secondary,0,4415,yes,no,unknown,2,jun,329,1,-1,0,unknown,0
163,164,22,2,1,secondary,0,652,no,no,telephone,31,aug,139,1,-1,0,unknown,0
164,165,47,5,3,tertiary,0,0,no,no,cellular,19,aug,213,2,-1,0,unknown,0
165,166,35,5,3,tertiary,0,4038,yes,yes,unknown,27,may,160,6,-1,0,unknown,0
166,167,44,8,3,tertiary,0,1631,yes,no,cellular,17,nov,81,1,195,2,failure,0
167,168,47,7,3,unknown,0,270,no,no,cellular,6,aug,467,2,-1,0,unknown,0
168,169,31,6,1,primary,0,5972,no,no,telephone,20,nov,59,1,-1,0,unknown,0
169,170,39,3,3,secondary,0,994,no,no,cellular,5,feb,221,1,241,1,failure,0
170,171,41,12,3,secondary,0,705,yes,no,unknown,13,may,205,1,-1,0,unknown,0
171,172,36,2,3,secondary,0,183,yes,no,unknown,20,may,103,3,-1,0,unknown,0
172,173,39,8,2,tertiary,0,0,no,no,cellular,16,apr,561,3,-1,0,unknown,0
173,174,58,3,2,secondary,0,553,yes,no,cellular,28,jul,174,2,-1,0,unknown,0
174,175,31,5,3,tertiary,0,2984,no,no,cellular,22,apr,343,5,-1,0,unknown,0
175,176,46,3,3,unknown,0,626,yes,no,unknown,26,may,399,2,-1,0,unknown,0
176,177,34,3,1,tertiary,0,2047,yes,no,cellular,28,jul,57,5,-1,0,unknown,0
177,178,32,2,3,secondary,0,55,yes,no,unknown,15,may,546,9,-1,0,unknown,0
178,179,53,3,3,secondary,0,768,yes,no,cellular,10,jul,218,1,-1,0,unknown,0
179,180,57,4,1,secondary,0,976,yes,no,cellular,9,jul,98,1,-1,0,unknown,0
180,181,52,10,2,secondary,0,385,no,yes,cellular,26,aug,96,4,-1,0,unknown,0
181,182,36,9,3,primary,0,122,no,no,unknown,6,jun,78,1,-1,0,unknown,0
182,183,54,6,3,secondary,0,0,no,no,telephone,16,apr,1366,1,150,1,failure,0
183,184,23,8,3,tertiary,0,489,no,yes,cellular,18,aug,235,4,-1,0,unknown,0
184,185,34,6,3,secondary,0,233,yes,no,cellular,18,nov,98,1,-1,0,unknown,0
185,186,31,3,1,secondary,0,506,no,no,cellular,21,aug,43,4,-1,0,unknown,0
186,187,54,2,3,secondary,0,158,yes,no,unknown,19,may,198,1,-1,0,unknown,0
187,188,79,4,2,primary,0,1910,no,no,telephone,24,feb,98,2,-1,0,unknown,0
188,189,56,5,3,secondary,0,819,no,no,unknown,9,jun,55,1,-1,0,unknown,0
189,190,35,5,3,tertiary,0,646,yes,no,cellular,18,nov,84,2,-1,0,unknown,0
190,191,33,2,3,secondary,0,7,yes,no,unknown,20,may,217,1,-1,0,unknown,0
191,192,33,2,1,secondary,0,358,yes,no,cellular,7,may,302,1,356,3,failure,0
192,193,47,1,3,secondary,0,2024,no,no,unknown,9,jun,169,1,-1,0,unknown,0
193,194,34,3,3,secondary,0,945,yes,yes,cellular,24,jul,181,1,-1,0,unknown,0
194,195,45,6,3,secondary,0,-149,yes,no,unknown,15,may,644,2,-1,0,unknown,0
195,196,34,3,3,tertiary,0,1524,yes,no,cellular,16,apr,399,1,-1,0,unknown,0
196,197,43,1,3,primary,0,240,yes,no,unknown,23,may,83,2,-1,0,unknown,0
197,198,33,6,1,secondary,0,2945,no,no,cellular,20,nov,91,1,-1,0,unknown,0
198,199,45,12,3,secondary,0,-405,no,no,cellular,31,jul,189,3,-1,0,unknown,0
199,200,33,3,1,tertiary,0,49,no,no,cellular,25,aug,476,3,-1,0,unknown,0
200,201,31,6,3,secondary,0,897,yes,no,unknown,20,may,26,2,-1,0,unknown,0
201,202,30,3,1,secondary,0,518,yes,no,unknown,2,jun,21,1,-1,0,unknown,0
202,203,42,9,3,primary,1,16,no,no,unknown,11,jun,79,1,-1,0,unknown,0
203,204,28,11,1,secondary,0,5916,no,no,cellular,22,may,259,1,63,5,failure,0
204,205,34,12,2,secondary,0,67,yes,no,unknown,6,may,90,1,-1,0,unknown,0
205,206,34,6,1,secondary,0,1599,yes,no,cellular,12,may,59,3,-1,0,unknown,0
206,207,44,6,3,primary,0,8,no,no,cellular,28,jan,531,1,-1,0,unknown,0
207,208,28,5,1,tertiary,0,3238,yes,no,unknown,19,may,7,1,-1,0,unknown,0
208,209,44,6,3,secondary,0,138,yes,no,unknown,8,may,283,3,-1,0,unknown,0
209,210,30,5,1,tertiary,0,21,no,no,cellular,26,aug,61,7,-1,0,unknown,0
210,211,34,5,1,secondary,0,356,yes,no,cellular,30,jul,52,7,-1,0,unknown,0
211,212,80,4,2,primary,0,5861,no,no,telephone,26,apr,92,8,-1,0,unknown,0
212,213,35,5,1,tertiary,0,151,no,no,unknown,20,sep,11,1,850,2,failure,0
213,214,35,3,3,tertiary,0,393,no,no,cellular,29,aug,150,2,-1,0,unknown,0
214,215,51,1,3,tertiary,0,174,no,yes,cellular,11,jul,222,7,-1,0,unknown,0
215,216,52,6,3,primary,0,126,no,no,unknown,23,may,93,4,-1,0,unknown,0
216,217,32,6,1,secondary,0,5252,yes,no,unknown,21,may,1162,2,-1,0,unknown,0
217,218,41,3,3,secondary,0,442,yes,yes,cellular,17,apr,261,3,322,1,other,0
218,219,33,10,3,tertiary,0,0,yes,no,cellular,19,nov,122,2,-1,0,unknown,0
219,220,36,6,3,secondary,0,160,yes,no,cellular,30,jan,344,2,-1,0,unknown,0
220,221,35,6,2,tertiary,0,3547,yes,no,cellular,19,nov,289,1,-1,0,unknown,0
221,222,51,9,3,primary,0,618,yes,yes,cellular,4,feb,69,1,-1,0,unknown,0
222,223,39,6,1,secondary,0,0,yes,no,cellular,7,may,722,2,-1,0,unknown,0
223,224,46,2,3,secondary,0,12,no,no,cellular,26,aug,225,3,-1,0,unknown,0
224,225,40,6,3,secondary,0,316,yes,no,unknown,7,may,266,2,-1,0,unknown,0
225,226,56,5,3,primary,0,405,no,no,cellular,21,jul,251,2,-1,0,unknown,0
226,227,55,4,3,secondary,0,1467,no,yes,cellular,29,jul,277,2,-1,0,unknown,0
227,228,42,5,1,tertiary,0,1768,yes,no,unknown,8,may,193,2,-1,0,unknown,0
228,229,59,9,3,primary,0,96,no,no,cellular,6,aug,88,2,-1,0,unknown,0
229,230,35,6,3,secondary,0,53,yes,no,unknown,16,may,258,2,-1,0,unknown,0
230,231,40,3,3,secondary,0,84,yes,no,cellular,8,aug,119,3,-1,0,unknown,0
231,232,37,2,3,secondary,0,4430,yes,no,cellular,5,may,175,1,-1,0,unknown,0
232,233,52,6,3,secondary,0,633,yes,no,cellular,14,may,292,1,-1,0,unknown,0
233,234,35,6,3,primary,0,456,yes,no,unknown,2,jun,71,1,-1,0,unknown,0
234,235,46,6,3,secondary,0,0,yes,no,unknown,26,may,208,2,-1,0,unknown,0
235,236,34,9,3,secondary,0,1969,no,no,cellular,7,aug,252,4,-1,0,unknown,0
236,237,27,5,1,tertiary,0,385,no,yes,cellular,31,jul,52,7,-1,0,unknown,0
237,238,45,12,3,secondary,0,137,yes,no,unknown,14,may,427,1,-1,0,unknown,0
238,239,29,2,1,secondary,0,166,no,yes,cellular,28,jul,108,8,-1,0,unknown,0
239,240,31,3,1,secondary,0,19,no,no,telephone,4,jul,65,2,-1,0,unknown,0
240,241,33,6,3,secondary,0,245,yes,no,cellular,14,may,437,2,370,8,other,0
241,242,56,5,2,tertiary,0,442,no,no,unknown,28,may,77,3,-1,0,unknown,0
242,243,25,2,1,secondary,0,32,yes,no,unknown,16,may,124,1,-1,0,unknown,0
243,244,40,5,2,secondary,0,-626,yes,no,cellular,7,jul,140,4,-1,0,unknown,0
244,245,48,6,3,primary,0,2519,no,no,telephone,22,aug,105,5,-1,0,unknown,0
245,246,34,3,2,secondary,0,-324,no,no,cellular,14,aug,166,4,-1,0,unknown,0
246,247,59,4,3,primary,0,2722,no,no,unknown,16,jun,145,1,-1,0,unknown,0
247,248,57,6,3,secondary,0,166,no,no,cellular,4,aug,58,1,-1,0,unknown,0
248,249,45,6,3,primary,0,751,no,no,cellular,28,aug,151,4,-1,0,unknown,0
249,250,33,5,3,tertiary,0,644,yes,yes,cellular,3,feb,124,2,271,2,failure,0
250,251,45,6,3,secondary,0,156,yes,yes,unknown,28,may,47,1,-1,0,unknown,0
251,252,32,1,3,secondary,1,2,yes,no,unknown,13,may,178,2,-1,0,unknown,0
252,253,34,6,1,tertiary,0,42,no,no,cellular,5,aug,297,1,-1,0,unknown,0
253,254,31,6,3,primary,0,392,yes,no,cellular,14,may,465,2,360,1,failure,0
254,255,32,12,1,secondary,0,73,yes,no,unknown,28,may,545,1,-1,0,unknown,0
255,256,58,6,2,primary,0,1299,no,no,cellular,19,jul,128,2,234,2,failure,0
256,257,43,12,3,secondary,0,324,no,no,cellular,8,aug,629,4,-1,0,unknown,0
257,258,48,6,1,primary,0,316,no,no,unknown,5,jun,560,2,-1,0,unknown,0
258,259,41,5,3,tertiary,0,51,no,no,cellular,25,aug,140,8,-1,0,unknown,0
259,260,38,3,1,secondary,0,435,yes,no,cellular,6,may,437,4,345,1,failure,0
260,261,31,5,3,tertiary,0,2937,yes,no,cellular,4,feb,173,1,-1,0,unknown,0
261,262,56,4,3,secondary,0,397,yes,no,unknown,23,may,252,1,-1,0,unknown,0
262,263,32,12,3,secondary,0,76,yes,no,unknown,21,may,189,2,-1,0,unknown,0
263,264,49,6,3,primary,0,-117,no,no,cellular,25,aug,53,6,-1,0,unknown,0
264,265,58,5,2,tertiary,0,5,yes,no,unknown,9,jun,412,1,-1,0,unknown,0
265,266,46,12,2,secondary,0,660,yes,no,cellular,29,jan,1026,1,259,2,failure,0
266,267,51,2,3,unknown,0,5801,yes,no,unknown,29,may,147,2,-1,0,unknown,0
267,268,41,6,3,primary,0,-571,yes,yes,unknown,26,may,207,4,-1,0,unknown,0
268,269,36,12,1,secondary,0,0,yes,yes,unknown,16,may,213,1,-1,0,unknown,0
269,270,33,6,3,primary,0,463,yes,no,unknown,23,may,230,1,-1,0,unknown,0
270,271,35,5,2,secondary,0,124,yes,no,cellular,16,apr,48,4,146,5,failure,0
271,272,35,2,1,secondary,0,11,yes,no,cellular,25,jul,294,1,-1,0,unknown,0
272,273,49,2,3,secondary,0,66,yes,yes,cellular,21,nov,59,4,-1,0,unknown,0
273,274,50,3,1,secondary,0,330,no,no,cellular,6,aug,376,3,-1,0,unknown,0
274,275,42,3,2,secondary,0,0,yes,no,unknown,30,may,115,6,-1,0,unknown,0
275,276,33,5,3,secondary,0,-224,yes,no,cellular,14,may,152,2,259,8,other,0
276,277,38,6,3,primary,0,580,yes,no,unknown,30,may,572,6,-1,0,unknown,0
277,278,37,5,1,secondary,0,8311,yes,no,cellular,16,apr,474,2,-1,0,unknown,0
278,279,42,10,3,tertiary,0,2821,no,no,unknown,11,jun,203,2,-1,0,unknown,0
279,280,41,3,3,secondary,0,112,yes,no,cellular,17,nov,1081,1,131,1,failure,0
280,281,56,2,2,secondary,0,935,no,no,cellular,2,jun,136,1,96,3,failure,0
281,282,32,6,3,secondary,1,-238,yes,no,unknown,27,may,427,1,-1,0,unknown,0
282,283,45,6,2,secondary,0,-705,no,yes,unknown,3,jul,111,1,-1,0,unknown,0
283,284,34,5,3,secondary,0,5127,no,yes,cellular,10,jul,559,2,-1,0,unknown,0
284,285,75,4,2,primary,0,46,no,no,cellular,2,feb,294,1,-1,0,unknown,0
285,286,38,6,3,secondary,0,757,yes,no,cellular,2,feb,133,1,272,1,failure,0
286,287,58,4,2,secondary,0,439,no,yes,cellular,10,jul,48,2,-1,0,unknown,0
287,288,57,3,3,secondary,0,109,no,no,cellular,25,aug,124,4,-1,0,unknown,0
288,289,25,5,1,tertiary,0,295,no,no,cellular,5,jun,169,1,-1,0,unknown,0
289,290,39,5,1,tertiary,0,816,yes,no,cellular,27,aug,37,3,-1,0,unknown,0
290,291,28,6,1,secondary,0,-267,yes,no,unknown,20,jun,86,4,-1,0,unknown,0
291,292,31,3,1,secondary,0,591,yes,yes,cellular,15,may,14,5,-1,0,unknown,0
292,293,41,12,3,primary,0,0,yes,no,cellular,6,may,184,2,323,1,failure,0
293,294,41,1,3,tertiary,0,1666,no,no,unknown,9,jun,291,3,-1,0,unknown,0
294,295,33,5,1,tertiary,0,923,yes,no,cellular,19,nov,1307,3,173,6,failure,0
295,296,38,6,1,unknown,0,573,yes,no,unknown,12,may,334,7,-1,0,unknown,0
296,297,49,6,3,primary,0,3049,no,no,unknown,12,jun,124,2,-1,0,unknown,0
297,298,29,2,1,tertiary,0,1788,no,no,cellular,4,feb,303,1,100,1,success,0
